texto,prioridade
Famílias no bairro Jardim Novo precisam urgente de alimentos. As doações estão diminuindo e muitos estão sem o básico para a próxima semana.,MEDIA
O estoque de alimentos no centro comunitário está quase acabando e há várias famílias em necessidade urgente de comida. Precisamos de doações o quanto antes.,ALTA
"Um morador da Rua das Flores precisa de atendimento médico por causa de dores intensas e ainda não conseguimos ajuda profissional. Por favor, alguém próximo pode ajudar com orientação médica?",MEDIA
"Uma árvore caiu na Rua das Flores, bloqueando totalmente a saída de emergência do prédio residencial. Os moradores estão presos desde às 14h e precisam de assistência urgente para garantir sua segurança.",ALTA
"Na Rua das Flores, um idoso precisa de medicação para hipertensão até o fim do dia. O posto de saúde do bairro estava sem estoque hoje de manhã, o que pode afetar seu bem-estar.",MEDIA
"O Centro Comunitário de São Miguel Paulista está enfrentando uma grave falta de alimentos. Famílias estão sem suprimentos básicos, necessitando urgentemente de doações de alimentos não perecíveis diariamente a partir das 9h.",ALTA
"O ponto de ônibus na Avenida Paulista está sem cobertura e chove bastante. Alguns passageiros pedem apoio de guarda-chuvas ou dicas de rotas alternativas. Isso ocorre entre 8h e 10h, impactando trabalhadores e estudantes.",BAIXA
"O Centro Comunitário Jardim Sul carece de frutas e pães para o café da manhã das crianças. É importante receber doações até amanhã, às 9h, para atender a 50 crianças.",MEDIA
"Posto de saúde na Avenida Brasil, nº 567, enfrenta falta temporária de equipamentos básicos de primeiros socorros, impactando atendimento não urgente. Estoque deve ser reabastecido em breve, sem necessidade de evacuação.",BAIXA
"Uma pequena clínica na região de Santo André está enfrentando falta de máscaras e luvas para pronto atendimento. A situação está sob controle, mas seria útil receber doações ainda hoje.",MEDIA
Famílias sem comida na Praça Central! Precisamos de mantimentos urgentes!,ALTA
"Há risco de inundação nas proximidades do Parque São Jorge. A situação é crítica, com possibilidade de alagamentos nas próximas horas. Recomendamos evacuação imediata e busca por abrigo seguro.",ALTA
Preciso de transporte urgente para a Estação Central. Alguém pode ajudar?,BAIXA
Estamos com falta de voluntários no centro comunitário para distribuir kits de higiene. Precisamos de ajuda para garantir que todos recebam o necessário.,MEDIA
"Urgente! Crianças com fome perto da Avenida Paulista, precisam de alimentos agora!",ALTA
Um morador precisa de curativo para corte leve na mão.,BAIXA
"Na Rua das Flores, uma pessoa de idade caiu às 10h e parece precisar de assistência médica para garantir que está bem. Alguém pode ajudar a verificar?",MEDIA
Várias pessoas estão ilhadas devido a uma enchente na Rua dos Pinheiros e precisam de transporte urgente para sair de lá em segurança.,ALTA
"Na comunidade do Jardim São Luís, há escassez de alimentos, afetando várias famílias. Doações urgentes são necessárias para suprir a demanda e garantir refeições diárias. O problema se intensificou nas últimas 24 horas.",ALTA
"Precisamos de caronas solidárias para idosos na rua Flor de Maio, que estão com dificuldade de acesso ao transporte público.",MEDIA
"Estamos precisando de voluntários para ajudar na organização dos donativos no centro comunitário. Se alguém puder ajudar, será muito bem-vindo!",BAIXA
"Na Vila Prudente, moradores enfrentam dificuldades com transporte público insuficiente para o número de passageiros no horário de pico, por volta das 18h. Isso tem causado atrasos em compromissos importantes.",MEDIA
Precisamos de alimentos no abrigo Rua Central. Estoque acabou!,ALTA
"Na Rua João Pessoa, nº 455, há necessidade urgente de insumos médicos e profissionais de saúde para atendimento de 15 pessoas, incluindo crianças com sintomas graves de desidratação. A acesso ao local está parcialmente comprometido por deslizamento de terra.",ALTA
"O bloqueio parcial da Rua Primavera, nº 125, devido a obras, limita o fluxo de veículos, mas não impede a circulação pedestre. A situação requer ajustes na sinalização para evitar congestionamentos.",BAIXA
"Estamos precisando de apoio médico na praça do bairro, tem várias pessoas com sintomas de gripe forte e ninguém para ajudar. Quem puder, por favor venha ou entre em contato.",MEDIA
"Os moradores da Rua Glicínias enfrentam acúmulo de lixo desde ontem à tarde, afetando a saúde e bem-estar. Precisamos de apoio para coordenação de limpeza e conscientização comunitária.",MEDIA
"Estou preso na Avenida Paulista, preciso de transporte urgente para sair daqui!",MEDIA
Precisamos de assistência médica para uma criança com febre alta no Centro Comunitário Vila Nova. Alguém pode ajudar?,MEDIA
"Na rua das Flores, um idoso está caído e aparentemente inconsciente. Precisamos de ajuda médica urgente.",ALTA
Não temos comida suficiente no abrigo! Precisamos de ajuda urgente!,ALTA
"Famílias sem comida na Rua Principal, situação crítica, ajuda urgente!",ALTA
"Na Avenida Paulista, altura do número 1578, interrupção de transporte público devido a alagamento. Cerca de 200 pessoas aguardam alternativas de deslocamento. Necessário suporte logístico para proporcionar rotas alternativas.",ALTA
"Na região de Guarulhos, muitos moradores estão sem transporte público devido a uma paralisação inesperada. Isso causa dificuldades no deslocamento para o trabalho e outros compromissos. Ajuda com transporte alternativo é urgente.",ALTA
Alguém no nosso prédio está com sintomas de febre alta e precisa de uma avaliação médica. Estamos preocupados e buscamos ajuda urgente para verificar a situação.,MEDIA
"A Avenida Ibirapuera enfrenta congestionamento intenso devido a um acidente, bloqueando o acesso de veículos de emergência a três hospitais próximos. Atrasos significativos na chegada de suprimentos médicos são esperados.",MEDIA
Precisamos de apoio urgente para ajudar no resgate de pessoas presas no edifício após o desabamento na Rua das Flores. Situação crítica!,ALTA
"Na Avenida Paulista, altura do número 2000, há bloqueio total de trânsito devido a alagamento, impactando a circulação dos ônibus e veículos de emergência. Cerca de 30 pessoas aguardam transporte alternativo para deslocamento urgente.",ALTA
"Na Rua das Flores, ônibus têm demorado mais de 30 minutos no horário de pico, prejudicando estudantes e trabalhadores. Sugiro verificar alternativas de transporte entre 17h e 20h.",MEDIA
"Na Rua das Flores, transporte público está paralisado desde 6h, impedindo acesso ao hospital local. Urgente necessidade de alternativas para pacientes em tratamento necessário.",ALTA
"Vazamento de gás na rua Silva, perigo imediato! Preciso de ajuda urgente!",ALTA
"Há um aumento significativo de casos de febre nos arredores do Jardim Peri. Necessário apoio médico urgente, especialmente para crianças, nas próximas 24 horas para evitar complicações graves.",ALTA
"Precisamos de apoio médico no centro comunitário, há alguns idosos necessitando de avaliação após uma pequena queda. Situação está controlada, mas atenção médica é bem-vinda.",MEDIA
"Na região da Vila Mariana, o acesso à Rua Vergueiro está bloqueado devido a inundação, impactando o transporte público local e a mobilidade de cerca de 200 moradores. Requer desobstrução urgente para restabelecer o transporte.",ALTA
"Na Rua das Flores, alguém precisa de ajuda médica urgente. Foi observado um desmaio por volta das 14h. Seria importante o atendimento rápido para evitar complicações.",ALTA
"Na Rua Domingos de Morais, nº 1200, o trânsito desacelerado afeta a entrega de suprimentos. Necessária coordenação para otimizar rotas e evitar atrasos nos horários de pico.",BAIXA
"Um idoso na Rua das Flores, São Paulo, precisa de transporte para uma consulta médica amanhã às 9h. Ele está sem opções de transporte disponíveis no momento.",BAIXA
Uma criança caiu e machucou feio a perna no parque da Vila das Flores. Precisamos de assistência médica urgente no local!,ALTA
"Na Rua das Flores, uma senhora precisa de consulta médica básica. Ela está bem, mas gostaria de verificar a pressão arterial. O atendimento pode ser feito até às 18h.",BAIXA
"O centro comunitário no bairro Peruíbe enfrenta uma escassez crítica de alimentos. Urgente necessidade de doações para atender as famílias afetadas. A situação se agrava a cada hora, principalmente entre 09h e 18h.",ALTA
"Urgente: preciso de transporte para sair da área, sem opções disponíveis. Por favor, ajuda!",MEDIA
"Na Avenida Paulista, altura do número 1230, há congestionamento causado por obras emergenciais na via, impactando o transporte público. A situação requer ajuste no tráfego e comunicação aos motoristas para garantir fluidez.",BAIXA
"Estamos sem alimentos na creche da rua Esperança, as crianças estão sem lanche. Precisamos de doações urgentes para alimentá-las hoje.",ALTA
"Um morador no prédio Rio Verde precisa de uma consulta médica para checar febre leve. Se alguém puder ajudar, seria ótimo!",BAIXA
"No bairro Bela Vista, idosos na casa de repouso ""Viver Bem"" precisam de assistência médica urgente devido a um surto de gripe. Atendimento necessário ainda hoje para evitar complicações.",ALTA
"Pessoa machucada no parque. Precisa de ajuda médica, ninguém por perto para socorrer!",MEDIA
Famílias na Rua dos Pinheiros estão sem mantimentos básicos. Precisamos de doações para ajudar a comunidade a se manter até a próxima semana.,MEDIA
Alguém machucou a perna na quadra do parque e está sem atendimento. Precisamos de ajuda médica para garantir que não piore.,MEDIA
"Há um pequeno grupo na Praça Leônidas, no final da manhã, que precisa de primeiros socorros. Sem ferimentos graves. Uma equipe local pode ajudar com curativos e orientações.",BAIXA
Uma criança está febril e precisa de consulta médica no centro comunitário do bairro. Algum médico poderia ajudar?,MEDIA
"Na Avenida Paulista, o congestionamento afeta a mobilidade local, atrasando o transporte público. Nenhum bloqueio completo, mas fluxo de ônibus está lento, impactando passageiros durante o horário de pico.",BAIXA
Precisamos de médico urgente! Um senhor está com dificuldade para respirar na praça ao lado do supermercado da Vila Nova. Ninguém sabe o que fazer.,ALTA
"Na Vila Mariana, alunos permanecem na escola desde 16h, sem transporte disponível devido a paralisação inesperada. Precisa-se urgentemente de alternativas de deslocamento para garantir segurança e retorno às suas casas.",ALTA
"Neste momento, há uma emergência médica na Rua das Flores, 45, em São Paulo. Pessoas estão precisando de atendimento imediato. Voluntários com formação médica são urgentemente necessários para ajudar.",ALTA
Precisamos de transporte urgente para pessoas isoladas depois da enchente na Avenida Central!,MEDIA
"Criança com febre alta e sem médicos por perto, precisamos de ajuda urgente!",ALTA
"Na Avenida Paulista, altura do número 900, o trânsito está bloqueado devido a um acidente grave. Várias ambulâncias estão retidas, prejudicando a evacuação e atendimento de emergências médicas na área. Reforço logístico e desvio urgente necessários.",ALTA
Famílias sem comida na rua 8. Precisamos de mantimentos urgente!,ALTA
"Precisamos urgentemente de transporte para evacuar as famílias do prédio na Rua das Acácias, a estrutura está comprometida e pode desabar a qualquer momento.",ALTA
"Criança com febre alta e convulsões na praça central, precisa de assistência médica urgente!",ALTA
"A comunidade do bairro Santa Clara está ficando sem mantimentos, especialmente para as crianças. Precisamos de alimentos não perecíveis urgentemente para alimentar as famílias necessitadas!",ALTA
"Na comunidade de Jardim São Luis, zona sul de São Paulo, há escassez crítica de alimentos. Aproximadamente 50 famílias estão sem suprimentos básicos devido à interrupção de abastecimento local.",ALTA
Precisamos de comida urgente na comunidade do Pq. Santo Antônio! Situação crítica.,ALTA
"Idoso com dor leve no braço, precisa de avaliação médica.",BAIXA
"Precisamos de comida urgentemente no abrigo Vila Madalena, estamos sem nada!",ALTA
Precisamos de transporte urgente para levar mantimentos e remédios ao centro comunitário; os suprimentos estão acabando e a situação é crítica.,ALTA
"Precisamos de transporte para levar moradores idosos do bairro Parque Verde até o posto de saúde mais próximo. A situação não é crítica, mas é importante agir logo.",MEDIA
Estamos precisando de voluntários para ajudar na organização de doações no centro comunitário Vila Esperança. Muitas caixas aguardando triagem.,MEDIA
Uma criança caiu e machucou o joelho na praça da Rua das Flores. Precisa de um curativo básico. Alguém pode ajudar?,BAIXA
"Preciso de um curativo e ataduras para um corte leve, por favor.",BAIXA
"O Centro Comunitário Jardim das Flores está sem alimentos suficientes para atender as famílias locais. Precisamos de doações urgentes, especialmente de itens não perecíveis, para garantir apoio imediato. Local: Rua das Rosas, 150. Horário: manhã e tarde.",ALTA
"Estamos precisando de doações de alimentos na creche do bairro, pois muitas famílias não têm o suficiente para o jantar hoje.",MEDIA
"Na clínica comunitária do Jardim Primavera, há uma pequena fila para consultas médicas básicas. Apesar da espera, a situação é controlada, mas alguns médicos extras podem ajudar a agilizar o atendimento. Horário de pico: 10h às 12h.",BAIXA
"Precisamos de um médico urgentemente na praça da Vila Rosa, tem alguém com suspeita de AVC e ninguém especializado por perto!",ALTA
Muro caiu bloqueando saída do beco. Sem perigo imediato.,BAIXA
"Alguém precisa de atenção médica na praça central! Não está grave, mas é urgente.",MEDIA
Preciso de ajuda para transportar comida para a comunidade. Aguardando voluntários.,BAIXA
"O transporte público no bairro Cidade Líder está operando com intervalos irregulares desde esta manhã. Isso tem causado atrasos frequentes, especialmente para trabalhadores e estudantes, que estão enfrentando dificuldades para chegar a seus destinos.",MEDIA
Precisamos de voluntários para ajudar na limpeza e distribuição de roupas no centro comunitário da Vila Esperança; a situação está crítica por falta de mãos.,ALTA
"O pessoal na Praça da Liberdade precisa de transporte para levar doações até o centro comunitário, mas ainda não temos ninguém disponível. Ajuda leve e urgente!",BAIXA
"A unidade de saúde na Avenida Paulista, nº 1234, enfrenta carência de suprimentos médicos essenciais, impactando atendimento a cerca de 50 pacientes. Pede-se urgência na reposição de medicamentos e materiais para prevenir agravamento da situação.",ALTA
"Preciso de ajuda urgente para encontrar minha família, estamos separados há horas!",MEDIA
"Em São Bernardo do Campo, o centro de distribuição na Avenida João Firmino, nº 2003, enfrenta escassez crítica de água potável, impactando 500 residentes, incluindo crianças e idosos. Necessidade urgente de reabastecimento para evitar complicações de saúde.",ALTA
O centro de saúde do Jardim Ipiranga está sem suprimentos médicos básicos e com atendimento comprometido. Há 20 pacientes aguardando cuidados urgentes. Urgente reforço logístico para reposição de materiais.,ALTA
"Um idoso se sentiu mal na praça do bairro e precisa de avaliação médica, só que ainda não encontramos assistência por aqui. Alguém pode ajudar?",MEDIA
"Urgente! Criança passou mal em frente ao supermercado, desmaiou. Precisa de socorro imediato!",ALTA
"Na Rua das Flores, um senhor está precisando de atendimento médico por causa de tontura persistente. Ocorreu por volta das 10h, e ele está sendo assistido por vizinhos, mas a situação requer atenção de um profissional de saúde.",MEDIA
"Tem uma pessoa com dores leves de cabeça na praça central, poderia ter alguém para verificar?",BAIXA
"Na Rua das Flores, número 250, uma senhora precisa de consulta médica devido a desconforto respiratório leve. A situação é controlada, mas seria ideal uma avaliação ainda hoje para garantir segurança.",MEDIA
"A linha de ônibus 305 na região de Santana está com atrasos frequentes há dois dias, afetando o deslocamento de muitos trabalhadores no horário de pico da manhã. Seria ideal reforçar o serviço para evitar transtornos.",MEDIA
Tem uma criança com febre alta no centro comunitário do bairro e não há medicação suficiente. Precisamos de ajuda médica para avaliar a situação.,MEDIA
"Precisamos de comida no abrigo, pessoas estão passando fome, urgente!",ALTA
"Alguém precisa de atendimento médico urgente na Praça dos Coqueiros; parece ter desmaiado. Quem puder ajudar, por favor, vá até lá.",MEDIA
"Preciso de primeiros socorros para um corte leve na perna. Local seguro, mas urgência.",BAIXA
"Na Unidade Básica de Saúde do Jardim São Paulo, há carência de termômetros funcionais, afetando a triagem de pacientes com sintomas leves. O problema limita a capacidade de diagnósticos precisos, mas não compromete serviços essenciais.",BAIXA
"Hospital São Miguel, na Zona Leste, enfrenta falta de suprimentos médicos essenciais, incluindo medicamentos críticos e equipamentos de suporte vital. Isso compromete gravemente o atendimento de emergências e pacientes em estado crítico.",ALTA
"Uma senhora caiu e está machucada, precisa de ajuda médica rápida na praça central.",MEDIA
"Na Rua das Flores, nº 215, há uma carência de alimentos para aproximadamente 30 residentes, incluindo 10 crianças. O acesso ao local é viável, mas a área carece de suprimentos básicos há dois dias.",MEDIA
Uma mãe com duas crianças está precisando de suporte médico no posto de saúde do bairro Vila Esperança. Alguém pode verificar?,MEDIA
"Na Rua das Flores, uma pessoa precisa de atendimento médico urgente após um acidente. Ambulância não chegou ainda. Por favor, quem puder ajudar a acionar serviço de emergência, a situação é crítica.",ALTA
"Na Associação da Vila Formosa, há necessidade urgente de alimentos devido ao aumento de 50% de famílias atendidas na última semana. Doações são essenciais entre 9h e 18h para evitar falta crítica.",ALTA
"Uma criança está com dificuldade para respirar no Centro Comunitário Vila Esperança. Precisamos de ajuda médica imediata, pois ela não está melhorando.",ALTA
"A senhora Maria, moradora da rua Jasmim, apresenta sintomas leves de gripe e gostaria de uma consulta. Seria ideal que um voluntário médico a visitasse entre 10h e 12h.",BAIXA
"Precisamos de comida no Lar Solidário, estamos ficando sem estoque!",MEDIA
"Na Rua das Flores, número 345, a fiação elétrica está danificada, apresentando risco de curto-circuito. A área está sem energia desde ontem à noite, afetando cerca de 50 residências. A assistência técnica urgente é necessária.",ALTA
"A dona Maria está com uma tosse persistente há dias, mas ainda não conseguiu atendimento médico. Alguém pode ajudar a levá-la a um posto de saúde?",BAIXA
O centro comunitário do bairro precisa de alimentos para famílias afetadas pela última enchente. Quem puder ajudar com doações será muito bem-vindo.,MEDIA
"O Centro Comunitário do Jardim Paulista está sem alimentos básicos. Famílias chegam constantemente, e a situação está se tornando insustentável. Precisamos urgentemente de doações para atender todos. O ideal é receber contribuições até o final do dia.",ALTA
Preciso de ajuda médica para uma pessoa com dificuldades para respirar no parque central!,ALTA
Famílias na Vila Esperança precisam urgentemente de alimentos. Estoques de comida acabaram e muitas crianças estão sem refeições adequadas.,ALTA
A Avenida Santo Antônio enfrenta congestionamento devido a obras urgentes. Moradores e visitantes estão com dificuldade de chegar ao centro de Osasco rapidamente. Recomenda-se usar rotas alternativas no horário de pico.,ALTA
"A praça no centro de São Bernardo do Campo precisa de uma limpeza urgente devido ao acúmulo leve de lixo. A situação não é crítica, mas a manutenção regular garantiria um ambiente mais agradável para todos.",BAIXA
Preciso de um médico urgente no cruzamento da Av. Paulista! Pessoa inconsciente!,ALTA
"Na Rua das Flores, os idosos estão com dificuldade de transporte para o posto de saúde. Uma van solidária aos sábados, das 8h às 10h, poderia ajudar. Impacto notado é no acesso aos cuidados médicos regulares.",BAIXA
"O parquinho da Praça dos Pinheiros está com alguns brinquedos danificados, talvez precise de manutenção para segurança das crianças. Um reparo simples pode resolver a situação rapidamente.",BAIXA
"No centro comunitário do Jardim São Luís, estoques de alimentos estão baixos após a chegada de novas famílias. Ajuda com doações é bem-vinda durante a tarde, para garantir o fornecimento de refeições nesta semana.",MEDIA
"No bairro de São Miguel Paulista, uma pessoa se encontra em situação de emergência médica na Rua das Flores, necessitando de atendimento urgente. O incidente ocorreu por volta das 14h, e assistência médica imediata é vital para estabilização.",ALTA
Uma mulher está com muita dor e precisa de um médico urgente na Rua Silva!,ALTA
Falta comida urgentemente no abrigo perto da estação. Ajuda crítica!,ALTA
"Na Av. das Nações, ônibus estão escassos durante manhã e noite, dificultando o deslocamento. Pessoas enfrentam longas esperas, especialmente das 7h às 9h e das 18h às 20h. Melhorias no serviço são necessárias para aliviar a situação.",MEDIA
Precisamos de transporte urgente para levar mantimentos do bairro Vila Nova até o centro comunitário no Jardim Esperança. Alguém consegue ajudar?,MEDIA
Uma criança está com febre alta no centro comunitário Vila Verde e precisamos de um médico urgentemente.,ALTA
"Precisamos de redes de proteção urgentemente no parquinho da Praça do Sol, pois algumas estão danificadas e representam risco para as crianças que brincam ali.",MEDIA
"Na Rua das Flores, número 120, há um idoso necessitando de atendimento médico urgente devido a uma queda. O incidente ocorreu por volta das 15h e ele apresenta dificuldades para se mover. Assistência imediata é crucial.",ALTA
"A escola municipal no bairro do Grajaú está sem suprimentos educacionais básicos, impactando 250 alunos diariamente. A falta de material compromete o desenvolvimento educacional da região.",ALTA
Preciso de transporte urgente para Hospital Municipal. Idoso com dificuldade de locomoção.,ALTA
"A UBS Jardim Ipê, na Rua das Flores, está com falta pontual de materiais para curativos, afetando o atendimento de casos leves. Reposição necessária para evitar atrasos nos procedimentos.",BAIXA
"Preciso de uma orientação médica simples, nada grave, por telefone.",BAIXA
Estamos com falta de alimentos na comunidade do Parque São Jorge e muitas famílias estão passando necessidade. Precisamos de doações urgentes para ajudar nossos vizinhos.,ALTA
"Um vizinho nosso está com febre alta e precisamos de um termômetro ou orientação médica na Avenida das Flores, número 120. Alguém pode ajudar?",MEDIA
Precisamos de um médico urgentemente no posto de saúde da Vila São Pedro; pessoas passando mal e sem atendimento suficiente no local.,ALTA
"Na Rua das Flores, número 85, houve um deslizamento de terra por volta das 15h. A situação é crítica, pois está impedindo o acesso às residências, afetando a segurança dos moradores. Precisamos de ajuda urgente para remoção e suporte.",ALTA
"A praça central em Santo Amaro está sem iluminação à noite, o que pode causar insegurança para quem passa pelo local. Seria ótimo se pudesse ser verificado o quanto antes.",BAIXA
"Na Rua das Flores, n° 123, há uma pessoa idosa precisando de assistência médica urgente desde esta manhã. A situação parece séria, e qualquer ajuda médica próxima seria de grande auxílio.",ALTA
Preciso de um médico para avaliar um ferimento leve aqui no bairro.,MEDIA
"O centro comunitário do Jardim São Luiz está com baixo estoque de alimentos e precisa de doações urgentes. Voluntários podem entregar mantimentos até às 17h, para atender cerca de 50 famílias que chegam diariamente.",MEDIA
"Na Vila Mariana, próximo à Rua Domingos de Morais, há escassez de alimentos no centro comunitário local, afetando aproximadamente 50 pessoas. A situação demanda reposição urgente para garantir o bem-estar dos beneficiários.",ALTA
"O parque central apresentou problemas no sistema de iluminação. A área fica escura ao anoitecer, podendo causar desconforto aos frequentadores. Sugiro reparos rápidos para melhorar a segurança local.",BAIXA
Preciso de ajuda urgente! Uma criança está inconsciente no parquinho da Vila das Flores e precisamos de assistência médica imediata.,ALTA
"Uma senhora precisa de atendimento médico urgente na Rua das Flores, 123, Jardim Primavera. Ela está com dificuldades respiratórias. O pedido é para hoje à tarde, por volta das 15h.",ALTA
"O Centro Comunitário São Paulo enfrenta escassez de alimentos, impactando várias famílias. Necessário auxílio urgente. Local: Rua das Flores, 250. Horário: manhã e tarde. Sua ajuda pode fazer a diferença.",ALTA
"Precisamos de voluntários para ajudar no recolhimento de doações no centro comunitário. As chuvas destruíram muitas casas, e a comunidade precisa de apoio imediato para se reerguer.",ALTA
"Na Vila Mariana, ocorreu um vazamento de gás por volta das 9h, causando evacuação urgente de prédios próximos. Recomenda-se evitar a área e buscar abrigo seguro até resolução completa da situação.",ALTA
"Na Rua dos Pinheiros, n° 123, há uma senhora idosa com dificuldade respiratória, necessitando de atenção médica urgente. O sintoma começou há cerca de uma hora, e a situação aparenta se agravar rapidamente.",ALTA
"Hoje, por volta das 17h, várias ruas no bairro de Pinheiros estão alagadas devido às fortes chuvas, afetando o transporte público e particular. Recomenda-se buscar rotas alternativas ou adiar deslocamentos, se possível.",MEDIA
"O centro comunitário do Jardim das Flores está com estoque reduzido de alimentos devido à demanda crescente. Precisamos de doações de alimentos não-perecíveis, especialmente arroz e feijão, para atender as famílias. A coleta é das 10h às 16h.",MEDIA
"Há um problema leve com a linha de ônibus 12 na Rua das Flores, operando com atrasos de cerca de 15 minutos. Os passageiros são aconselhados a planejar suas viagens com antecedência.",BAIXA
